type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.6743047446975200,,
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0047,1,2,00002.csv,,0.05605783343888100,0.20097016584458300
charge,[2010.       7.      21.      17.      25.      40.671],4,B0047,2,3,00003.csv,,,
impedance,[2010    7   21   20   31    5],24,B0047,3,4,00004.csv,,0.05319185850921100,0.16473399914864700
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099000,,
charge,[2010.       7.      21.      22.      38.      43.484],4,B0047,5,6,00006.csv,,,
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.5080762969973400,,
charge,[2010.       7.      22.       3.      14.      53.218],4,B0047,7,8,00008.csv,,,
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.4835577960067700,,
charge,[2010.       7.      22.       7.      50.      21.625],4,B0047,9,10,00010.csv,,,
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0047,10,11,00011.csv,1.4671391666146500,,
charge,[2010.       7.      22.      12.      25.       3.656],4,B0047,11,12,00012.csv,,,
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0047,12,13,00013.csv,1.448858156982270,,
impedance,[2010.       7.      22.      17.       3.       7.062],24,B0047,13,14,00014.csv,,0.05963791501051060,0.21039872263834900
charge,[2010.       7.      22.      17.      34.      59.312],4,B0047,14,15,00015.csv,,,
impedance,[2010.     7.    22.    20.    40.    25.5],24,B0047,15,16,00016.csv,,0.05512505361624280,0.1754882075917000
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0047,16,17,00017.csv,1.4458534180949300,,
impedance,[2010.       7.      23.      11.      35.      36.875],24,B0047,17,18,00018.csv,,0.058878485312444500,0.19095687096090000
charge,[2010.      7.     23.     12.      7.     29.25],4,B0047,18,19,00019.csv,,,
impedance,[2010.       7.      23.      15.      12.      59.218],24,B0047,19,20,00020.csv,,0.05281282159808420,0.17225152334151300
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0047,20,21,00021.csv,1.431118266178280,,
charge,[2010.       7.      23.      17.      17.      36.625],4,B0047,21,22,00022.csv,,,
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0047,22,23,00023.csv,1.4192745516578500,,
charge,[2010.       7.      23.      21.      50.      50.578],4,B0047,23,24,00024.csv,,,
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0047,24,25,00025.csv,1.3999974221808300,,
charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0047,25,26,00026.csv,,,
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0047,26,27,00027.csv,1.3885156686114400,,
charge,[2010.       7.      24.       6.      55.      11.046],4,B0047,27,28,00028.csv,,,
discharge,[2010    7   24    9   56   39],4,B0047,28,29,00029.csv,1.3652234669529000,,
impedance,[2010.       7.      24.      11.      30.      35.656],24,B0047,29,30,00030.csv,,0.057516600514537100,0.196364379896874
charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0047,30,31,00031.csv,,,
impedance,[2010.       7.      24.      15.       7.      54.015],24,B0047,31,32,00032.csv,,0.05353424494363980,0.1777073031474950
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0047,32,33,00033.csv,1.4060442272971000,,
impedance,[2010.     7.    27.    17.    47.    10.5],24,B0047,33,34,00034.csv,,0.06203113143529380,0.20089789289030600
charge,[2010.       7.      27.      18.      19.       3.281],4,B0047,34,35,00035.csv,,,
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0047,35,36,00036.csv,,0.05858490374013480,0.18415407975514000
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0047,36,37,00037.csv,1.4057541613525800,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0047,37,38,00038.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.3867662881727900,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0047,39,40,00040.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.3705053061420200,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0047,41,42,00042.csv,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.3497431114823600,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0047,43,44,00044.csv,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.3251533367939800,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0047,45,46,00046.csv,,0.062410515179020000,0.21439323318771800
charge,[2010.       7.      28.      18.       7.      53.906],4,B0047,46,47,00047.csv,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0047,47,48,00048.csv,,0.058089440596035100,0.18668970409335400
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.3111943869635800,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0047,49,50,00050.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0047,51,52,00052.csv,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.3394234405932900,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0047,53,54,00054.csv,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.2849157142560700,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0047,55,56,00056.csv,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.281719159327810,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0047,57,58,00058.csv,,0.06545446046217200,0.22145350055169300
charge,[2010.       7.      29.      16.      59.      23.625],4,B0047,58,59,00059.csv,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0047,59,60,00060.csv,,0.05889356113513970,0.20283861831236100
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.2600051642942800,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0047,61,62,00062.csv,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.266070385993130,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0047,63,64,00064.csv,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.2413590294280800,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0047,65,66,00066.csv,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.2298873703485300,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0047,67,68,00068.csv,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.228088614506700,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0047,69,70,00070.csv,,0.06743699845446590,0.23182146271844600
charge,[2010    7   30   16   20    6],4,B0047,70,71,00071.csv,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0047,71,72,00072.csv,,0.060657470418007600,0.21399678178486100
